months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported,policy_bind_year
226,28,OH,C,1000,1598.48,8000000,FEMALE,Associate,video-games,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,13,2,NO,0,4,NO,8060,5700,27330,Accura,2001,N,2009
152,50,IN,B,2000,1266.45,10000000,FEMALE,JD,sleeping,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,14,5,YES,1,1,YES,5480,2800,39300,Dodge,2002,N,2005
155,34,IL,C,2000,1220.63,0,FEMALE,MD,kayaking,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,12,1,NO,1,0,YES,14300,8500,33430,Volkswagen,2007,N,2003
140,30,OH,A,500,1485.46,2000000,FEMALE,Masters,camping,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,1,2,NO,2,1,NO,0,2220,30100,Dodge,2000,N,2002
194,48,OH,C,1000,873.24,4000000,MALE,JD,dancing,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,23,1,NO,2,3,YES,0,7600,16720,Volkswagen,2005,N,2007
220,34,IL,B,2000,1088.96,1000000,FEMALE,MD,paintball,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,14,4,YES,1,0,YES,12020,6600,48100,Ford,1999,N,1997
198,39,OH,B,1000,1428.36,0,FEMALE,JD,movies,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,16,1,?,0,2,YES,490,2510,32400,Mercedes,1995,N,1991
8,30,IL,A,2000,1254.75,1000000,FEMALE,PhD,kayaking,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NC,19,3,NO,2,2,NO,9170,14500,41920,Volkswagen,1996,N,2002
109,25,IN,B,500,1040.92,1000000,FEMALE,High School,golf,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,17,1,?,2,4,YES,14900,17100,77290,Dodge,1995,N,1996
241,37,IL,B,1000,2305.31,1000000,FEMALE,MD,dancing,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,5,2,?,0,3,NO,15290,9340,44710,Accura,1994,N,2010
503,54,IN,C,2000,1391.93,0,MALE,Associate,dancing,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,14,2,YES,1,0,NO,18600,6600,2060,Dodge,2004,N,2010
225,61,IL,B,1000,961.18,0,MALE,PhD,hiking,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,16,3,NO,3,0,YES,10100,16700,55100,BMW,1997,N,1996
468,34,IL,C,500,1355.06,1000000,MALE,PhD,camping,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,OH,12,1,YES,0,0,YES,9900,10240,53700,Suburu,2000,N,2009
95,29,IL,C,500,1878.93,0,FEMALE,MD,skydiving,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,17,3,NO,1,1,YES,5900,14500,50900,Dodge,2000,N,2008
211,26,OH,C,500,852.7,3000000,FEMALE,High School,polo,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,7,1,NO,1,2,YES,20220,18810,71940,Honda,2008,N,2007
503,63,OH,A,1000,1102.46,3000000,MALE,Masters,skydiving,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,14,1,?,0,1,NO,3000,15860,53720,Suburu,2006,N,1995
21,22,IN,B,1000,868.29,5000000,FEMALE,High School,sleeping,Single Vehicle Collision,Side Collision,Total Loss,Police,NY,15,2,YES,1,0,NO,7500,4750,23650,Nissan,1998,N,2002
442,58,OH,B,500,1204.51,0,FEMALE,Associate,reading,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,18,3,NO,1,0,NO,4000,2290,41900,BMW,1997,N,1990
226,58,IN,B,500,1374.69,0,MALE,High School,bungie-jumping,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,10,3,YES,1,1,NO,16510,9600,32100,Accura,1999,N,2002
251,41,OH,C,500,1351.99,0,FEMALE,Masters,exercise,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,22,1,NO,2,0,NO,7700,9000,58500,BMW,2009,N,2009
33,19,OH,B,2000,1137.69,0,FEMALE,College,movies,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,3,5,YES,1,1,NO,2820,17380,40500,Accura,1994,N,2008
139,28,OH,C,500,1589.67,1000000,FEMALE,High School,movies,Multi-vehicle Collision,Side Collision,Total Loss,Other,VA,17,3,YES,1,0,YES,730,1460,78180,Saab,2014,N,2002
153,52,IL,B,2000,1495.7,2000000,MALE,MD,basketball,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,5,2,?,1,3,YES,3500,10400,51930,Volkswagen,2008,N,2004
57,34,IL,C,2000,1522.73,2000000,FEMALE,PhD,bungie-jumping,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,22,1,NO,0,3,NO,5190,16900,40010,Suburu,1997,N,1991
294,37,IN,B,500,1101.12,1000000,MALE,MD,video-games,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,13,1,?,1,0,NO,14530,20180,35000,Toyota,1995,N,1992
41,30,OH,B,2000,898.19,0,FEMALE,MD,kayaking,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,12,3,NO,0,0,NO,9960,4890,45800,Ford,2007,N,2005
80,30,IL,B,2000,1536.69,2000000,FEMALE,JD,base-jumping,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,0,1,?,1,2,NO,13600,10200,46100,Audi,2015,N,1998
435,55,OH,A,500,1184.61,2000000,MALE,Masters,skydiving,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,12,1,?,0,2,NO,6200,14160,69100,Suburu,1995,N,1995
254,48,IL,A,2000,1437.64,5000000,FEMALE,High School,kayaking,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,7,2,NO,1,1,YES,4700,15490,48200,Suburu,2013,N,2013
219,42,IL,C,500,1406.61,0,MALE,PhD,camping,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,OH,10,1,YES,0,2,YES,8500,7980,92500,Suburu,2001,N,2009
59,16,OH,C,500,1242.95,4000000,MALE,Masters,golf,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,10,3,NO,1,3,YES,18100,14400,49600,Accura,2003,N,1994
465,57,OH,A,2000,1276.37,0,FEMALE,JD,base-jumping,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,4,2,NO,1,3,NO,0,0,57710,Suburu,1993,N,2008
51,35,IL,C,2000,1203.83,2000000,FEMALE,Masters,dancing,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,VA,8,4,NO,1,1,YES,14750,11080,55200,Nissan,2009,N,1996
237,38,OH,A,500,906.59,4000000,MALE,Masters,sleeping,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,22,1,?,1,3,NO,7180,2800,28800,Mercedes,2014,N,1993
265,44,OH,A,2000,1414.27,1000000,MALE,MD,reading,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,7,2,NO,0,1,NO,5490,12550,57000,Toyota,2004,N,1990
4,31,IL,A,500,1057.13,0,FEMALE,JD,golf,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,6,1,YES,0,2,NO,7810,4300,32100,Saab,2006,N,2008
205,33,OH,A,500,1523.06,0,FEMALE,Masters,camping,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,2,2,NO,2,2,NO,0,150,45310,Dodge,1999,N,2002
255,45,IL,A,500,1653.39,5000000,FEMALE,MD,movies,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,16,1,?,2,3,YES,4800,3840,39900,Jeep,2011,N,1994
67,32,IL,B,500,1169.19,0,MALE,High School,paintball,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,0,4,?,1,1,NO,16210,11680,50860,Nissan,1998,N,1994
262,55,IN,C,1000,779.66,1000000,FEMALE,High School,skydiving,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,7,5,?,2,1,NO,12960,13700,36810,Nissan,2003,N,2006
530,70,OH,B,1000,1478.47,4000000,MALE,Associate,skydiving,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,6,1,YES,2,0,YES,5800,6400,44090,Suburu,1999,N,1998
92,36,OH,A,500,1415.75,0,FEMALE,Masters,golf,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,1,3,YES,0,1,YES,9800,11600,26800,Suburu,1998,N,2003
340,43,IL,A,500,1077.18,5000000,MALE,College,sleeping,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,24,3,NO,0,2,NO,8320,8000,70500,Ford,2004,N,2010
352,50,OH,A,1000,1488.0,7000000,MALE,High School,yachting,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,7,3,YES,1,3,YES,7730,2600,30350,Volkswagen,2003,N,2007
216,36,OH,A,2000,1029.8,2000000,MALE,High School,exercise,Multi-vehicle Collision,Rear Collision,Total Loss,Police,VA,7,3,YES,0,3,NO,1600,7260,12300,Suburu,2008,N,2001
14,32,IN,A,1000,1012.11,0,FEMALE,JD,sleeping,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,NC,13,1,YES,2,1,NO,2900,4040,37600,Suburu,2009,N,1990
175,39,IL,A,500,727.85,0,FEMALE,PhD,movies,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,1,1,NO,0,0,YES,4800,9260,34100,Accura,2005,N,2004
143,35,IL,B,2000,1146.89,2000000,MALE,High School,yachting,Multi-vehicle Collision,Side Collision,Minor Damage,Police,WV,18,4,NO,1,0,YES,5550,6300,1600,Toyota,2002,N,2003
235,38,IL,B,1000,1813.42,0,FEMALE,MD,cross-fit,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,20,1,?,0,0,YES,5400,12700,50090,Saab,2010,N,2013
231,37,OH,B,500,901.75,0,FEMALE,PhD,basketball,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,12,1,NO,0,2,NO,570,8230,36950,Chevrolet,1997,N,2009
194,48,IL,C,2000,1729.74,0,FEMALE,PhD,kayaking,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,2,2,NO,1,2,YES,4790,0,61200,Ford,2011,N,1992
254,37,OH,B,1000,834.38,1000000,FEMALE,PhD,basketball,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,18,1,NO,1,0,NO,8260,6780,41140,Chevrolet,1997,N,2009
413,64,OH,C,2000,1117.16,0,FEMALE,MD,paintball,Multi-vehicle Collision,Side Collision,Major Damage,Police,NY,15,3,NO,3,3,YES,6100,18600,35600,Accura,2006,N,2004
208,43,IN,B,1000,1887.1,6000000,MALE,MD,movies,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,0,2,?,0,4,YES,5400,12800,14130,Jeep,2001,N,2009
399,45,OH,A,1000,1171.49,5000000,FEMALE,PhD,bungie-jumping,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,2,4,?,2,2,YES,18600,9190,36800,Ford,2007,N,1996
272,45,IN,A,1000,1135.43,1000000,MALE,PhD,polo,Single Vehicle Collision,Side Collision,Minor Damage,Fire,VA,20,1,?,1,0,NO,12350,7270,13500,Chevrolet,1986,N,1996
398,35,OH,A,2000,1172.21,0,FEMALE,JD,kayaking,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,22,1,NO,1,1,YES,12890,17190,45060,Dodge,2009,N,1990
424,39,IN,C,1000,1700.8,0,FEMALE,High School,basketball,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,14,2,YES,1,4,NO,13640,10490,45300,Mercedes,2012,N,1990
283,43,IL,C,2000,1710.77,0,FEMALE,PhD,kayaking,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,6,4,NO,1,2,YES,5900,0,51030,Ford,2011,N,1992
483,56,IL,C,2000,1406.65,1000000,MALE,JD,sleeping,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,12,3,YES,1,2,YES,11200,8700,76380,Nissan,2010,N,1993
121,36,OH,B,2000,889.0,1000000,FEMALE,PhD,hiking,Single Vehicle Collision,Rear Collision,Total Loss,Other,SC,5,2,YES,0,1,YES,18060,4800,53700,Accura,2009,N,1990
31,29,IL,B,2000,794.18,2000000,MALE,College,golf,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,2,1,?,1,1,NO,5700,11700,46950,BMW,2010,N,2011
73,31,OH,B,2000,1207.58,0,FEMALE,Associate,bungie-jumping,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,8,1,YES,2,3,NO,10170,17890,40000,Saab,2011,N,2005
9,26,OH,C,500,1029.38,2000000,FEMALE,PhD,reading,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,5,1,?,2,3,NO,6640,15860,58000,Volkswagen,2008,N,2002
230,48,IN,C,500,968.26,3000000,MALE,Masters,kayaking,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,14,1,NO,1,2,NO,6200,5560,17400,Saab,2015,N,2014
251,41,OH,B,500,1524.45,2000000,FEMALE,Masters,bungie-jumping,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,3,3,?,2,4,YES,18760,8600,46740,Suburu,1989,N,2003
557,56,OH,B,2000,1302.62,8000000,MALE,MD,bungie-jumping,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,22,3,?,0,4,YES,18600,8700,41610,Nissan,2005,N,2004
319,25,IL,B,2000,1098.36,0,FEMALE,MD,paintball,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,12,3,YES,1,1,YES,9300,2550,62800,Ford,1998,N,1997
7,28,IL,C,1000,1573.3,0,MALE,JD,skydiving,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,5,3,NO,2,1,NO,7380,14720,35200,Honda,1995,N,1991
207,20,IN,B,500,1250.05,4000000,FEMALE,Masters,exercise,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,12,1,YES,1,2,NO,17600,12360,66030,Accura,2007,N,2009
198,40,IL,B,500,1794.99,7000000,FEMALE,PhD,skydiving,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,5,1,YES,2,1,NO,6200,11400,48500,BMW,1988,N,1995
124,17,OH,B,2000,1610.9,0,FEMALE,Associate,bungie-jumping,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,2,1,YES,1,2,NO,2600,5730,60000,Saab,2007,N,2005
84,28,IN,C,1000,1232.64,3000000,FEMALE,High School,golf,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,22,1,NO,0,3,YES,4700,7020,15600,Audi,1999,N,2003
226,38,IL,C,2000,1403.59,7000000,MALE,MD,video-games,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,WV,16,4,YES,0,3,NO,2900,5300,55720,Dodge,2005,N,1993
266,36,IN,B,500,933.93,5000000,FEMALE,JD,dancing,Single Vehicle Collision,Rear Collision,Total Loss,Fire,NY,22,1,YES,1,2,YES,2120,11800,38740,Jeep,2005,N,2004
57,24,OH,A,1000,1019.37,4000000,FEMALE,Masters,golf,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,3,4,YES,1,1,YES,5800,9100,43990,Suburu,1995,N,2003
239,46,IN,C,2000,1130.82,3000000,FEMALE,PhD,base-jumping,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,15,3,?,2,2,YES,10700,8900,66600,Mercedes,2006,N,1999
173,31,OH,B,2000,981.1,0,MALE,Masters,camping,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,24,1,?,1,2,YES,12500,13640,50700,Chevrolet,2002,N,1991
81,25,OH,B,2000,933.15,0,FEMALE,PhD,hiking,Single Vehicle Collision,Rear Collision,Total Loss,Other,SC,12,1,YES,1,1,YES,15100,4200,30700,Accura,2014,N,1990
72,17,IN,A,1000,1740.59,1000000,MALE,Associate,golf,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,17,4,YES,2,1,YES,14230,7760,69200,Accura,2010,N,2006
230,56,IN,C,500,1025.99,0,MALE,Masters,bungie-jumping,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,20,3,YES,2,0,YES,6100,0,41900,Chevrolet,2015,N,1996
70,26,OH,A,1000,1325.82,1000000,MALE,MD,sleeping,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,9,3,YES,1,1,NO,10800,9320,49700,Saab,2007,N,2002
33,36,IL,B,2000,1396.21,0,MALE,PhD,yachting,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,16,1,YES,0,1,NO,4100,7730,70150,Saab,2002,N,1993
157,31,IL,C,2000,1018.85,2000000,FEMALE,PhD,basketball,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,1,1,NO,2,1,NO,16840,15030,42360,Accura,2010,N,2014
262,32,OH,A,1000,1784.01,3000000,MALE,JD,movies,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,0,2,NO,1,0,NO,1180,4600,56300,Volkswagen,1997,N,2013
63,26,IL,A,500,947.0,1000000,FEMALE,JD,golf,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,2,1,YES,0,2,NO,13170,300,48290,Saab,2005,N,2008
143,25,OH,C,2000,1143.57,6000000,FEMALE,High School,basketball,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,13,1,NO,2,4,NO,8230,12800,24800,Suburu,2002,N,2006
292,47,IL,B,2000,1149.7,0,FEMALE,MD,paintball,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,17,3,YES,1,2,YES,12270,6430,56030,Ford,1994,N,1997
190,36,IL,A,1000,1265.72,1000000,FEMALE,Associate,yachting,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,13,3,YES,1,1,YES,7300,2750,7540,BMW,2004,N,2004
134,42,IN,B,2000,1602.52,0,MALE,JD,polo,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,13,3,YES,1,2,YES,5200,21700,38500,Dodge,2001,N,2002
354,57,IN,A,500,1705.63,0,FEMALE,MD,hiking,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,15,1,YES,1,1,NO,12990,5500,42500,Mercedes,2005,N,2010
417,55,IN,C,2000,1127.82,1000000,MALE,Associate,dancing,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,19,1,YES,0,0,NO,17700,6400,38190,Dodge,2004,N,2010
376,32,IL,C,2000,975.85,1000000,MALE,PhD,camping,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,OH,11,1,YES,1,2,YES,6630,6860,48200,Suburu,1998,N,2009
185,47,OH,A,2000,1501.66,0,MALE,Associate,chess,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,18,1,NO,1,3,YES,11710,13600,52000,Nissan,1996,N,2009
279,42,IL,B,1000,809.03,0,MALE,JD,polo,Multi-vehicle Collision,Side Collision,Minor Damage,Other,NC,2,4,?,2,0,YES,2900,15510,37630,Honda,1999,N,1997
278,45,IL,B,2000,1084.72,1000000,MALE,JD,polo,Multi-vehicle Collision,Side Collision,Minor Damage,Other,NC,6,4,?,2,1,YES,7470,8500,24010,Honda,1998,N,1997
277,40,OH,B,2000,932.58,0,MALE,Masters,camping,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,20,1,?,0,3,YES,5800,8200,28200,Chevrolet,1999,N,1991
135,32,IL,B,1000,947.52,5000000,MALE,College,camping,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,8,1,NO,2,2,YES,13380,8930,53700,BMW,2005,N,2012
334,43,IL,C,1000,1163.77,0,MALE,JD,basketball,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,12,3,NO,0,3,NO,8580,2020,39720,Honda,1992,N,1993
17,41,IN,A,1000,1026.82,0,FEMALE,College,reading,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,3,1,NO,2,0,YES,15950,0,55750,Chevrolet,2002,N,1992
137,37,IL,B,1000,963.4,0,MALE,Associate,base-jumping,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,15,2,YES,2,0,YES,9770,4300,32040,Accura,2005,N,2000
324,38,OH,C,1000,1265.95,3000000,FEMALE,PhD,dancing,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,15,1,?,1,1,YES,9260,4040,15560,Honda,2009,N,2010
288,28,IN,C,500,1234.39,3000000,MALE,High School,basketball,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NC,7,3,?,0,3,NO,7250,2400,32160,Volkswagen,1997,N,2005
244,42,IL,A,2000,1147.63,0,FEMALE,Associate,exercise,Single Vehicle Collision,Side Collision,Major Damage,Other,WV,10,1,YES,2,2,NO,6800,15800,58100,Nissan,2006,N,2009
217,32,OH,B,500,1288.45,0,FEMALE,PhD,bungie-jumping,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,21,3,YES,1,4,NO,0,13080,2320,Audi,2009,N,2001
392,50,OH,B,500,1761.49,1000000,MALE,PhD,base-jumping,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,1,2,?,2,1,YES,7360,4400,56400,Suburu,2009,N,1998
413,73,IN,C,2000,1069.55,0,FEMALE,High School,skydiving,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,6,3,?,2,2,NO,10100,14600,90360,Nissan,2005,N,2006
81,42,OH,C,500,1267.03,0,FEMALE,MD,yachting,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,13,1,YES,1,1,NO,4030,16860,43660,Accura,2010,N,2014
333,50,OH,B,500,633.17,0,MALE,JD,camping,Single Vehicle Collision,Front Collision,Minor Damage,Police,WV,13,2,?,3,3,YES,8180,8500,47570,Honda,2010,N,2007
207,39,IN,A,1000,1417.21,0,MALE,Masters,dancing,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,17,1,YES,0,3,YES,10500,6720,71360,Jeep,2004,N,2005
408,58,IN,B,1000,1108.86,0,MALE,PhD,polo,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,8,3,YES,0,4,YES,11200,6630,29310,Toyota,2003,N,2015
0,44,IL,B,2000,1325.96,2000000,FEMALE,MD,paintball,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,21,2,YES,2,1,YES,12400,7510,48200,Ford,1997,N,1997
357,49,IN,A,2000,1449.96,0,MALE,College,sleeping,Multi-vehicle Collision,Front Collision,Total Loss,Police,SC,5,3,NO,1,0,NO,5800,11900,27580,Jeep,2005,N,1992
561,64,OH,A,500,1436.15,2000000,MALE,Masters,skydiving,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,12,1,?,1,0,NO,3400,9520,60100,Suburu,1997,N,1995
300,39,IL,C,2000,1519.58,0,FEMALE,PhD,kayaking,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,6,4,NO,0,3,YES,4700,4500,41600,Ford,2010,N,1992
134,37,OH,A,1000,1496.24,4000000,MALE,College,camping,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,18,4,NO,1,0,NO,1570,11000,30400,BMW,2011,N,1993
243,51,IL,C,500,1628.71,0,MALE,High School,base-jumping,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,15,1,NO,1,1,YES,12280,13200,77840,Ford,2005,N,1990
583,66,OH,A,500,1361.11,0,MALE,Masters,skydiving,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,17,1,?,0,1,NO,10200,11990,70320,Suburu,1992,N,1995
332,54,IN,B,500,1389.42,0,MALE,JD,camping,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,20,3,YES,1,1,NO,15400,5600,59110,Chevrolet,2010,N,2007
106,27,OH,C,500,1154.36,6000000,FEMALE,PhD,reading,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,6,1,?,2,2,NO,13330,16900,67800,Volkswagen,2013,N,2002
326,62,OH,C,2000,1178.13,0,MALE,JD,bungie-jumping,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,13,3,NO,1,3,NO,8700,10140,38900,Nissan,2002,N,2000
64,47,OH,C,1000,1056.69,4000000,MALE,Associate,hiking,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,18,4,?,1,0,YES,16650,5580,60840,Suburu,2002,N,1991
247,30,IN,C,500,794.13,0,MALE,High School,basketball,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NC,3,5,?,0,3,NO,7800,4150,36570,Volkswagen,1996,N,2005
228,31,IN,A,2000,1037.26,1000000,FEMALE,JD,sleeping,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,NC,18,2,YES,1,2,NO,8070,3800,44390,Suburu,2015,N,1990
107,46,OH,A,500,879.76,1000000,MALE,Associate,reading,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,14,2,YES,0,4,NO,1800,0,50410,Nissan,2000,N,2010
268,17,OH,A,500,1263.88,1000000,FEMALE,Masters,camping,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,0,4,NO,2,2,NO,2350,6810,30000,Dodge,1991,N,2002
204,44,OH,A,2000,1303.38,0,FEMALE,High School,base-jumping,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,15,1,NO,0,2,YES,10360,6700,50300,Honda,2000,N,2014
114,32,OH,A,1000,757.72,0,FEMALE,MD,video-games,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,6,2,YES,2,1,YES,5800,10140,47670,Ford,2006,N,2001
385,45,IN,B,1000,1554.63,8000000,MALE,MD,movies,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,0,2,?,1,4,YES,2900,7500,13600,Jeep,2001,N,2009
113,31,IL,A,500,1325.76,0,FEMALE,JD,golf,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,0,1,YES,0,3,NO,11000,8810,42810,Saab,2000,N,2008
150,32,IN,B,500,1423.73,1000000,FEMALE,JD,kayaking,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,10,2,?,0,0,YES,4180,11800,58960,Chevrolet,2000,N,1991
121,32,IN,A,2000,1926.79,0,MALE,Masters,dancing,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,OH,10,1,NO,1,1,YES,1700,9670,81900,Honda,1989,N,1990
158,41,IN,A,500,1464.32,0,FEMALE,JD,reading,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,5,1,?,0,0,YES,12000,5200,23100,Volkswagen,2009,N,1996
55,33,IL,A,500,1248.42,1000000,FEMALE,JD,golf,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,1,2,YES,0,2,NO,5800,3300,42000,Saab,2004,N,2008
220,34,OH,A,500,1488.45,1000000,FEMALE,High School,bungie-jumping,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,20,3,NO,3,0,NO,12160,3600,35980,Ford,2013,N,2001
331,55,IN,A,500,1620.02,1000000,FEMALE,High School,dancing,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,5,1,YES,2,1,NO,9900,8700,38040,Honda,2010,N,1999
50,27,IL,C,500,1511.46,0,FEMALE,High School,golf,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,3,1,?,2,0,NO,6210,4050,63100,Saab,1999,N,2000
176,21,OH,C,500,1031.0,0,FEMALE,High School,polo,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,8,1,NO,1,2,YES,23450,16460,52400,Honda,2013,N,2007
70,26,IL,B,2000,1297.71,0,FEMALE,Associate,board-games,Single Vehicle Collision,Side Collision,Minor Damage,Other,NY,12,2,?,3,4,NO,4930,3100,32990,Chevrolet,2014,N,2012
